Ticker,Name
NXLFF,NEXIENT LEARNING INC
GIB,CGI GROUP INC  -CL A
ISYS,INTEGRAL SYSTEMS INC
NWSS,NETWORK SIX INC
SYS.5,SYS
IKOS,IKOS SYSTEMS INC
SYZLF,SYLOGIST LTD
PMTT,PAMET SYSTEMS INC
ETEC,EMTEC INC
MEDW,MEDIWARE INFORMATION SYSTEMS
SSVC,SECURED SERVICES INC
CLTY,CELERITY SOLUTIONS INC
TREV,TREEV INC
ELTE,ELITE INFORMATION GROUP INC
TAVA,TAVA TECHNOLOGIES INC
DRAI,DATA RESEARCH ASSOC INC
CPXP,COUPON EXPRESS INC
CITA,CITATION COMPUTER SYS INC
VRSOQ,VERSO TECHNOLOGIES INC
DATC,DATATEC SYSTEMS INC
DYNE,DYNTEK INC
NXIFF,ELLIPSIZ COMMUNICATIONS LTD
NYFX,NYFIX INC
NH,NANTHEALTH INC
TRCDQ,TRICORD SYSTEMS INC
WIND.1,WIND RIVER SYSTEMS INC
IDPIQ,IDENTIPHI INC
TVGT,TVG TECHNOLOGIES LTD
IMCI,INFINITE GROUP INC
AIV.,AIT ADVANCED INFO TECH CORP
ALDN,ALADDIN KNOWLEDGE SYSTEM LTD
OSYM,OSAGE SYSTEMS GROUP INC
MODM,MODERN MEDICAL MODALITIES CP
PXXI,PROPHET 21 INC
BRHI,BRAINTECH INC
MINT.1,MICRO-INTEGRATION CORP
FALC,FALCONSTOR SOFTWARE INC
LORX,LORONIX INFORMATION SYS INC
3DSYS,DATA SYSTEMS NETWORK CORP
BTGI.,BTG INC
EMED,MEDCOM USA INC
MSH.Z,MEDISOLUTION LTD
BRQS,BORQS TECHNOLOGIES INC
DAVA,ENDAVA PLC -ADR
DSLGF,DISCREET LOGIC INC
IMNT,IMNET SYSTEMS INC
ADSV,ALLIED SECURITY INNOVATIONS
3SOCT,SOCRATES TECHNOLOGIES CORP
ROB.2,CRS ROBOTICS CORP
MMWW,METAMOR WORLDWIDE INC
IDXC,IDX SYSTEMS CORP
TFRC,TECHFORCE CORP
AZCT,AZCAR TECHNOLOGIES INC
3FIVE,5B TECHNOLOGIES CORP
TPPPF,TRIPLE P NV
VCOM,VITALCOM INC
KMGP,KNOWLEDGE MECHANICS GROUP
CW.1,CANADA WEST CAPITAL INC
LU,LUCENT TECHNOLOGIES INC
SAPE,SAPIENT CORP
ARLCF,AREL COMMUNICATIONS & SFTWR
STRM,STREAMLINE HEALTH SOLUTIONS
ELOG,ELITE LOGISTICS INC
OCIS,OACIS HEALTHCARE HLDGS CORP
SUNQ,SUNQUEST INFORMATION SYS INC
DPS.,DIGITAL PROCESSING SYS INC
APVS,APPLIED VISUAL SCIENCES INC
ECDI,EC DEVELOPMENT INC
AFIS,PRINTRAK INTERNATIONAL INC
EVSNF,ELBIT VISION SYSTEMS LTD
3ACEC,ACE COMM CORP
NTST,NETSMART TECHNOLOGIES INC
3ITIG,INTELLIGROUP INC
TSG.2,SABRE HOLDINGS CORP  -CL A
SEQL,SEQUEL TECHNOLOGY CORP
ALLN,ALLIN CORP
ID,L-1 IDENTITY SOLUTIONS INC
3BRTL.,BRISTOL RETAIL SOLUTIONS INC
3PPID,PRESCIENT APPLIED INTELLIGEN
NEOM,NEOMEDIA TECHNOLOGIES INC
KCA.,KASTEN CHASE APPLIED RSH LTD
TTIL,TTI TEAM TELECOM INTL LTD
ECSGY,ECSOFT GROUP PLC
CMSS.1,CREDIT MGMT SOLUTIONS INC
3MCIFE,MC INFORMATICS INC
MMGR.,MEDICAL MANAGER CORP-OLD
APPS.1,APPIANT TECHNOLOGIES INC
3DAOU,DAOU SYSTEMS INC
RADS,RADIANT SYSTEMS INC
ENSR,ENSTAR INC
XGNT,EXIGENT INTL INC
ESHR,ESHARE COMMUNICATIONS INC/GA
HTEI,H T E INC
3EFAX,EFAX.COM INC
ISYRF,INTRINSYC TECHNOLOGIES CORP
RWDT,RWD TECHNOLOGIES INC
TLSI,TELESCIENCES INC
ESP.B,SLMSOFT INC
FTRLQ,FUTURELINK CORP
CAIR,CORSAIR COMMUNICATIONS INC
GARS.1,PATHWAYS GROUP INC
ESLT,ELBIT SYSTEMS LTD
RDCM,RADCOM
FPLYQ,FULLPLAY MEDIA SYSTEMS INC
ACSEF,ACS MOTION CONTROL LTD
BSMZF,BSM TECHNOLOGIES INC
HYBR,HYBRID NETWORKS INC
IMAG,IMAGEMAX INC
USWB,USWEB CORP
SNZH,SAN HOLDINGS INC
RMLXD.1,ROOMLINX INC -OLD
CTSI,CONDOR TECH SOLUTIONS INC
FCGI,FIRST CONSULTING GROUP INC
INKS.1,INKSURE TECHNOLOGIES INC-OLD
IBIN,IBSG INTERNATIONAL INC
3GDXX,GLOBALDIGITALCOMMERCE.COM
MRGE.1,MERGE HEALTHCARE INC
ZVLO,ESOFT INC
CMND.1,COMMAND SYSTEMS INC
3SYSZ,CPS SYSTEMS INC
FNDT,FUNDTECH LTD
SEMA10,SEMA PLC
CCZFF,CRITICAL CONTROL ENRGY SRVCS
AXANF,AXIA NETMEDIA CORP
YOHOF,YOHO RESOURCES INC
JPOTF,JACKPOT DIGITAL INC
CERT,CERTICOM CORP
VNDKF,VENDTEK SYSTEMS INC
SCTC,SECURE TECHNOLOGIES GROUP
EKGGF,CARDIOCOMM SOLUTIONS INC
IPZ.,IMAGE POWER INC
AILQF,AIRIQ INC
IRDYF,INTL ROAD DYNAMICS INC
VVVFF,VERSATILE SYSTEMS INC
WSMXF,WIRELESS MATRIX CORP
KHI.,KNOWLEDGE HOUSE INC
LGI.Z,LOGIBEC GPE INFORMATIQUE LTE
3FOURQ,FOURTHSTAGE TECHNOLOGIES INC
CYN.,CYGNAL TECHNOLOGIES CORP
TNTSF,TRIANT HOLDINGS INC
OVTZ,OCULUS VISIONTECH INC
SSG.1,SIERRA SYSTEMS GROUP INC
MANH,MANHATTAN ASSOCIATES INC
VNTK,VIANET TECHNOLOGIES INC
UMLS,AZTEC TECHNOLOGY PRTNRS INC
TWNE.,TOWNE SERVICES INC
DTLK,DATALINK CORP
ECLP,ECLIPSYS CORP
9676B,ENTEX INFORMATION SVCS INC
PER.1,PEROT SYSTEMS CORP
9714B,FEDERAL DATA CORP
LATD,LATITUDE COMMUNICATIONS INC
RBAK,REDBACK NETWORKS INC
SONE,S1 CORP
FFIV,F5 NETWORKS INC
SSPX,SSP SOLUTIONS INC
RAMP,RAMP NETWORKS INC
CLRN,CLARENT CORP
ITAH,ITA HOLDINGS INC
3CONV,CONVERGENT COMMUNICATIONS
TROZ,TROY GROUP INC
TANN.1,TANNING TECHNOLOGY CORP
PKTR,PACKETEER INC
IPIXQ,IPIX CORP
NTCT,NETSCOUT SYSTEMS INC
BWAY,BREAKAWAY SOLUTIONS INC
CYSV,CYSIVE INC
DRTN,DATA RETURN CORP
RSTR,RSTAR CORP
CVTE,CAVION TECHNOLOGIES INC
BFRE.,BE FREE INC
3NETZ,NETZEE INC
COBT,COBALT NETWORKS INC
PXPT,PRACTICEXPERT INC
EMRG,EMERGE INTERACTIVE INC
IISX,INTEGRATED INFORMATION SYS
VHGI,VHGI HOLDINGS INC
DGLHQ,DIGITAL LIGHTHOUSE CORP
IWSY,IMAGEWARE SYSTEMS INC
EMBT.,EMBARCADERO TECHNOLOGIES INC
9931B,ENVIRONMAX.COM INC
ITGL.1,INFINITE TECHNOLOGY GRP LTD
ISEDF,ISEE3D INC
3OTWO,O2WIRELESS SOLUTIONS INC
RBBN,RIBBON COMMUNICATIONS INC
NEI,NETWORK ENGINES INC
CVGP,CONVERGENT GROUP CORP
TSYS,TELECOMMUNICATION SYS INC
ZNGN,ZENGINE INC
ARDI,AT ROAD INC
MKN.2,MOBILE KNOWLEDGE INC
CTFO,CHINA TRANSINFO TECHNOLOGY
IMTV.,IMAGICTV INC
SITA,SITARA NETWORKS INC
OMCL,OMNICELL INC
HTHO,HALO TECHNOLOGY HLDGS INC
DLAD,DEALERADVANCE INC
MANT,MANTECH INTL CORP
ADYE,ARADYME CORP
ANT.2,ANTEON INTERNATIONAL CORP
DECN,DECISION DIAGNOSTICS CORP
VRNT,VERINT SYSTEMS INC
FLYLF,FLYHT AEROSPACE SOLUTIONS
VNX.1,VERIDIAN CORP
CPSI,COMPUTER PROGRAMS & SYSTEMS
SINT,SI INTERNATIONAL INC
DNET,DIGITALNET HOLDINGS INC
TDCP.1,3DICON CORP -OLD
SVR.1,SYNIVERSE HOLDINGS INC-OLD
NSTC,NESS TECHNOLOGIES INC
COGT.1,COGENT INC
ARCT.1,ARCSOFT INC-REDH
TLVTF,TELVENT GIT SA
SNTR,STENTOR INC-REDH
YTEC,YUCHENG TECHNOLOGIES LTD
MNTWF,MARCH NETWORKS CORP
CLRI,CLEARTRONIC INC
NCIT,NCI INC
GSEC,GLOBAL SECURE CORP -REDH
LDOS,LEIDOS HOLDINGS INC
BERL.1,BERLINER COMMUNICATIONS-OLD
3APNO,ALPHA INNOTECH CORP
ATSC,ATS CORP
SNVNF,SANDVINE CORP
DIVX.1,DIVX INC
SXE.1,STANLEY INC
TAOP,TAOPING INC
RNIN.1,WIRELESS RONIN TECHNLGS -OLD
MEDE,MEDECISION INC
STCA,STATMON TECHNOLOGIES CORP
PICS,PICIS INC -REDH
PDGM,PARADIGM LTD -REDH
FIRE,SOURCEFIRE INC
BBND,BIGBAND NETWORKS INC
BR,BROADRIDGE FINANCIAL SOLUTNS
GUESF,GUESTLOGIX INC
SPCB,SUPERCOM LTD
ESPAF,ESPIAL GROUP INC
VMW,VMWARE INC -CL A
CROS,CROSS MATCH TECH INC-REDH
ILA.,ILOOKABOUT CORP
STVVY,CHINA DIGITALTV HLDG CO -ADS
CML,COMPELLENT TECHNOLOGIES INC
N,NETSUITE INC
IPCA,IPC SYSTEMS HOLDINGS-REDH
RCON,RECON TECHNOLOGY LTD
MDSO,MEDIDATA SOLUTIONS INC
OPEN,OPENTABLE INC
TRITF,TRI-TECH HOLDING INC
GTEC,GLOBAL DEFNSE TCH & SYS INC
DVOXQ,DYNAVOX INC
ANOS,ANOTEROS INC
GWAY,GREENWAY MEDICAL TECH INC
WIT,WIPRO LTD
FORTY,FORMULA SYSTEMS (1985) LTD
BALTY,BALTIMORE TECHNOLOGIES PLC
CCEQQ,CEYONIQ AG
KBAY,KANBAY INTERNATIONAL INC
ESY.Z,ESI ENTERTAINMENT SYS INC
ANLY,ANALYSTS INTERNATIONAL CORP
CTK.3,COMPTEK RESEARCH INC
3INAIQ,INTELLICORP INC
KEA,KEANE INC
TSRI,TSR INC
FORS.,FORSOFT LTD
TEKCQ,TEKNOWLEDGE CORP
CSKKY,CSK CORP
BDTE,BRENDAN TECHNOLOGIES INC
IAIC,INFORMATION ANALYSIS INC
FSCT,FORESCOUT TECH INC
CICN,CICERO INC
SAVLY,SAVILLE SYSTEMS PLC  -ADR
WMDA,WATCHIT MEDIA INC
3WIZTF,WIZTEC SOLUTIONS LTD
CVNS.1,COVANSYS CORP
DSFT,DELSOFT CONSULTING INC
